ID	Gene	AVG_Medium	AVG_Reference_Standard	AVG_GA	AVG_generic
ILMN_2906430	ICOS	8.19493	9.379094737	9.444848529	9.41605
ILMN_1221819	FCGRT	9.812453333	8.634481579	8.525132353	8.270463636
ILMN_2767615	ATP1B1	8.774563333	7.597357895	7.592442647	7.479663636
ILMN_2707941	GPR83	8.052503333	9.212121053	9.204789706	8.896509091
ILMN_1233987	1110014O20RIK	8.7487	9.906276316	9.906113235	9.809395455
ILMN_2758720	SYPL	10.40974667	11.56390526	11.58090735	11.63484091
ILMN_2522750	TRIO	9.803086667	8.660626316	8.588198529	8.569590909
ILMN_2703182	LGALS7	5.84539	6.982352632	6.931479412	6.807209091
ILMN_2729252	5830431A10RIK8.978433333	7.842484211	7.881010294	7.62365
ILMN_1249366	LOC100046608	8.23407	9.368084211	9.364801471	9.143586364
ILMN_2670778	KIF1B	9.548573333	8.416486842	8.422280882	8.337918182
ILMN_1254669	SYPL	9.745053333	10.87525263	10.84873088	10.82055
ILMN_2706514	LOC100046608	7.5095	8.634492105	8.612260294	8.444136364
ILMN_2618148	C330008K14RIK	8.92018	10.04062895	10.14341765	9.885018182
ILMN_2634796	SOCS1	6.6267	7.742844737	7.681489706	7.639990909
ILMN_2467190	BAMBI-­‐PS1	8.600723333	7.486402632	7.445139706	7.239054545
ILMN_2917497	FCGRT	8.608183333	7.498360526	7.495925	7.383177273
ILMN_3130403	BC004728	8.17928	9.286213158	9.314702941	9.245672727
ILMN_2758264	CYP2S1	7.54357	6.441436842	6.418064706	6.3116
ILMN_2725259	IL2	6.447773333	7.549121053	7.490217647	7.949609091
ILMN_1247198	BC004728	9.205513333	10.29546842	10.36407941	10.27191818
ILMN_2612125	ARHGEF18	11.20628	10.12344737	10.09455882	9.868472727
ILMN_1218240	CD69	10.80300333	11.88487105	11.83365882	11.85055909
ILMN_2510694	NME7	8.52766	7.449481579	7.434319118	7.279186364
ILMN_2706232	SYNGR2	9.92304	10.98201579	11.08668088	11.19834545
ILMN_2754364	LTF	9.291486667	8.233002632	8.257197059	8.373727273
ILMN_2844996	ACTN1	10.95206667	9.899202632	9.844863235	9.639622727
ILMN_2596596	RGS1	7.544413333	8.596763158	8.683054412	8.546304545
ILMN_1234706	IGHA_J00475$V00785.3_0IG97_6HEAVY_7C.2O6N3S7T7A3N68T4ALPHA7_.123251332353	7.160227273
ILMN_1244874	SYNGR2	9.75433	10.79814737	10.86721029	10.9914
ILMN_2724465	CCR8	5.868983333	6.910739474	6.962161765	6.952495455
ILMN_2890515	NSG2	7.526546667	6.487660526	6.466486765	6.366909091
ILMN_2690241	PKIB	6.76308	7.799152632	7.745076471	7.7524
ILMN_2731237	D8ERTD82E	7.88429	8.912992105	8.974445588	9.155922727
ILMN_1218037	TMIE	7.753076667	8.776018421	8.751725	8.420295455
ILMN_2740407	PDE2A	7.706153333	6.685718421	6.704382353	6.679877273
ILMN_2799452	IL12RB1	6.439253333	7.457005263	7.404963235	7.448872727
ILMN_2678724	DUSP10	7.155803333	8.172573684	8.260263235	8.096786364
ILMN_2669714	CTSA	8.099546667	9.113136842	9.205033824	9.180018182
ILMN_2636536	PLA2G12A	8.84106	9.8543	9.883701471	9.88105
ILMN_1224116	SMPDL3A	8.557293333	7.546207895	7.587558824	7.453181818
ILMN_2625377	RGS1	8.738546667	9.746213158	9.769272059	9.687659091
ILMN_2635272	IGH-­‐VJ558	14.29845	13.29094737	13.22015294	13.18095
ILMN_2534151	IRGB10	8.701546667	9.704373684	9.691323529	9.5531
ILMN_1239797	6030400N17RIK7.333296667	6.331097368	6.341064706	6.274213636
ILMN_1249021	BCL2	7.82453	8.822494737	8.747633824	8.542981818
ILMN_2987709	SLC15A3	9.175186667	10.16891579	10.19635147	10.39172273
ILMN_2717975	TCF7	9.211256667	8.222889474	8.215898529	8.083790909
ILMN_2706231	SYNGR2	10.31389	11.30210263	11.42013235	11.58176364
ILMN_2769772	PIK3IP1	8.618043333	7.649376316	7.746248529	7.440986364
ILMN_2944824	HP	8.98318	8.016268421	8.174917647	8.30705
ILMN_2947234	CBX7	8.6477	7.682768421	7.728530882	7.684054545
ILMN_1242308	TCF7	9.232466667	8.26825	8.260585294	8.138781818
ILMN_3053593	GLIPR2	10.08712	11.04892632	11.06006324	10.93565455
ILMN_2658501	IFITM3	10.38816667	11.34819474	11.42799853	11.42086818
ILMN_2668333	PRG4	6.984513333	6.026434211	5.988755882	5.921604545
ILMN_1247893	CGEF2-­‐PENDING9.050576667	8.096818421	8.110351471	7.883945455
ILMN_1248843	GATA3	7.34306	8.294652632	8.224369118	8.104072727
ILMN_2773900	GLIPR2	9.729866667	10.68112895	10.63013088	10.46443182
ILMN_2873750	GLDC	5.92132	6.870686842	6.770875	6.741440909
ILMN_2699898	ITGAE	8.418296667	7.469634211	7.501901471	7.236572727
ILMN_1217629	ITGAE	8.464196667	7.527947368	7.552825	7.319981818
ILMN_2897891	RGS1	7.728746667	8.660318421	8.707230882	8.614995455
ILMN_2806549	PRM1	5.990036667	6.916326316	6.894220588	6.788813636
ILMN_1229827	ST7	6.727336667	7.649644737	7.737477941	7.809095455
ILMN_1254634	ACPL2	8.50204	7.581063158	7.572779412	7.580222727
ILMN_2925094	MPO	7.105436667	6.185805263	6.332797059	6.577845455
ILMN_2687652	PRM1	5.935833333	6.854623684	6.849060294	6.777136364
ILMN_3047389	GBP2	7.03435	7.947555263	7.887723529	7.679313636
ILMN_2659739	IL7R	7.364306667	6.458986842	6.442688235	6.261427273
ILMN_1246543	SIAT7C	9.223836667	8.320423684	8.378747059	8.210077273
ILMN_2818964	DUSP10	7.31253	8.215365789	8.287358824	8.062272727
ILMN_2600928	OVGP1	7.453986667	6.557389474	6.540479412	6.507018182
ILMN_2631752	CTLA4	7.81105	8.706171053	8.619783824	8.483668182
ILMN_2663249	SLAMF9	9.11594	8.222615789	8.243369118	8.1212
ILMN_2614889	B3GNT8	9.81282	8.920905263	8.953698529	8.841236364
ILMN_2939681	LYZS	7.795363333	6.9062	6.970098529	7.154781818
ILMN_2696492	PHF11	8.6652	9.553802632	9.454427941	9.271490909
ILMN_1230045	4933437K13RIK8.913463333	9.798655263	9.824382353	9.735468182
ILMN_2996904	OBFC2A	6.96731	7.850726316	7.798394118	7.615513636
ILMN_2513451	1110046J11RIK	11.05034	10.16700789	10.15531618	10.12564091
ILMN_1217180	IFITM1	10.89041667	11.77217632	11.84941765	11.83110455
ILMN_1259174	SCIN	8.775283333	9.655794737	9.640454412	9.632631818
ILMN_2481117	1700052O22RIK10.66834667	9.788118421	9.815542647	9.722204545
ILMN_1234539	IRGM1	10.58084333	11.46092105	11.438425	11.37995455
ILMN_2611755	SERPINB6B	7.277453333	8.156736842	8.188377941	8.19805
ILMN_1233293	GBP1	10.84405667	11.71913684	11.66407353	11.49095455
ILMN_2646625	JUN	7.34434	8.218031579	8.291385294	8.082372727
ILMN_2761720	LOC1000411038.500646667	7.629236842	7.612494118	7.366713636
ILMN_1237871	AMPD1	7.304966667	6.433939474	6.446288235	6.283995455
ILMN_2789650	CSRP3	6.64884	7.517015789	7.601960294	7.724718182
ILMN_2682162	BCL2	7.844683333	8.709405263	8.674883824	8.569540909
ILMN_2932359	TPI1	10.31272	11.17369737	11.19473235	10.92615455
ILMN_1214071	IFITM1	10.60328	11.4639	11.54568971	11.61521364
ILMN_1242622	CREM	7.411453333	8.271910526	8.247942647	8.217618182
ILMN_1237338	DDX25	7.421036667	6.560686842	6.532476471	6.45865
ILMN_1218525	IL18R1	8.817636667	7.958268421	7.945545588	7.754745455
ILMN_2636403	AXUD1	9.995656667	10.85401842	10.84707206	10.69045909
ILMN_2578341	B930094H08RIK7.454906667	6.597310526	6.497302941	6.428463636
ILMN_2658878	TG	6.5678	7.422852632	7.479155882	7.382472727
ILMN_2726471	EN2	5.743626667	6.598660526	6.582991176	6.530154545
ILMN_1214294	SNX29	6.848423333	7.702268421	7.713407353	7.705336364
ILMN_2646322	SAMSN1	10.94873	11.79982368	11.86731176	11.88902273
ILMN_2777019	SPO11	7.814436667	6.967128947	6.908411765	6.728213636
ILMN_2678726	RASGRP2	7.477166667	6.636023684	6.733875	6.734577273
ILMN_2700689	IBRDC3	8.3528	9.193568421	9.290398529	9.354804545
ILMN_1244866	GBP5	8.2183	9.058268421	9.012258824	8.881472727
ILMN_2765759	ASB2	8.020873333	8.860181579	8.794510294	8.691077273
ILMN_1239878	PRSS34	7.13797	6.298813158	6.278086765	6.330131818
ILMN_2689401	MCOLN2	8.4654	7.62645	7.5921	7.59695
ILMN_2447712	IBRDC3	6.955663333	7.792826316	7.789882353	7.901122727
ILMN_1223600	INDO	6.495596667	7.332621053	7.296913235	7.166577273
ILMN_2751603	PHXR4	9.941726667	9.109602632	8.973426471	8.817872727
ILMN_1221516	LOC1000488416.434853333	7.2654	7.302933824	7.260995455
ILMN_2419494	TNFRSF18	9.906223333	10.73479474	10.79889559	10.57273636
ILMN_1214783	A530050E01RIK8.485986667	7.659539474	7.615842647	7.62025
ILMN_1239729	KIF1B	8.392053333	7.567934211	7.516839706	7.370368182
ILMN_1233501	C530027B15RIK	9.48782	8.663984211	8.683922059	8.504722727
ILMN_1253182	HS3ST1	8.033893333	8.855842105	8.805114706	8.860563636
ILMN_2638491	SLAMF7	7.82434	8.644642105	8.627872059	8.595940909
ILMN_2592953	SCG5	7.77508	6.956702632	6.960557353	6.79455
ILMN_1218036	SCO1	8.34345	9.161613158	9.071594118	9.090790909
ILMN_1229840	FCRLA	10.64000667	9.823918421	9.907154412	9.789463636
ILMN_1260046	SFT2D2	9.51672	10.33144474	10.2783	10.18119545
ILMN_2662097	RAB35	10.63486	11.44911053	11.42574559	11.5381
ILMN_2696491	PHF11	8.4808	9.294965789	9.237983824	9.094609091
ILMN_1249824	IGF1R	7.569356667	6.755618421	6.779692647	6.7302
ILMN_2789900	CD177	7.385106667	6.571739474	6.62825	6.835731818
ILMN_2665545	RIN3	9.836286667	9.024592105	9.014795588	8.852218182
ILMN_3122961	GBP2	12.90305333	13.71437895	13.71902353	13.60109545
ILMN_2602899	CREM	6.903246667	7.7135	7.713844118	7.7371
ILMN_1258965	TMEM66	11.24646333	10.43824474	10.41262794	10.26992273
ILMN_1238725	C130086J11RIK6.425446667	7.233239474	7.187627941	7.029145455
ILMN_2855315	HIST1H1C	9.337553333	8.530276316	8.505617647	8.621104545
ILMN_2658961	DGKA	11.82494	11.01769737	11.06722353	10.9061
ILMN_1217723	STAU2	7.913883333	8.719473684	8.736936765	8.7426
ILMN_2431237	XBP1	11.49460333	12.30005789	12.26956618	12.30432273
ILMN_2619200	ERAF	7.865656667	8.669657895	8.714435294	8.671418182
ILMN_1234698	TSPAN2	6.670486667	7.473368421	7.425954412	7.439659091
ILMN_2795178	RFTN2	8.005233333	7.209273684	7.217733824	7.237681818
ILMN_1258283	LTB	11.83477333	11.04274211	11.03906324	10.91391364
ILMN_2643513	ASNS	9.04453	9.835744737	9.741755882	9.861822727
ILMN_1258357	DOK3	12.26605	11.47897632	11.44765	11.44477727
ILMN_2491741	TRIO	7.336273333	6.549247368	6.611138235	6.557227273
ILMN_2492284	AA536717	7.253643333	6.468510526	6.484120588	6.349872727
ILMN_3128992	CD27	11.71615	10.93310263	10.95738971	10.65876364
ILMN_2742068	CSRP3	6.410026667	7.191834211	7.259801471	7.395309091
ILMN_2419490	TNFRSF18	10.22464333	11.00578158	11.07498088	10.83858636
ILMN_2650953	SLC12A7	7.512276667	6.731831579	6.744029412	6.646413636
ILMN_2749063	DOCK10	7.141206667	7.920371053	7.865589706	7.847540909
ILMN_2807084	ACOT7	8.594826667	9.372	9.352392647	9.372054545
ILMN_2473692	1110059G02RIK	7.65595	6.880018421	6.850135294	6.816413636
ILMN_1237695	PFKP	9.860906667	10.63633421	10.65613824	10.56410455
ILMN_2592486	genericLYRP1	8.485243333	7.710365789	7.785183824	7.734190909
ILMN_2630993	PPAP2B	8.248056667	7.473742105	7.506554412	7.530063636
ILMN_3006767	MLKL	7.866353333	8.638142105	8.575160294	8.697018182
ILMN_1244343	B230369L08RIK10.64261667	9.871126316	9.899548529	9.819563636
ILMN_2888191	CCR5	7.154613333	7.925273684	7.880173529	7.807190909
ILMN_1248413	FASL	6.024673333	6.795171053	6.780129412	6.697140909
ILMN_2803674	S100A9	11.68038333	10.91212105	11.05074559	11.24515455
ILMN_2691014	KLHL14	7.10078	6.333918421	6.30465	6.381831818
ILMN_2725448	SYTL3	6.27369	7.040426316	7.029935294	6.914209091
ILMN_2666272	HEMK1	8.380666667	9.14595	9.173805882	9.25
ILMN_2540103	LOC666559	9.92083	10.68557895	10.7199	10.70793636
ILMN_2488997	2010005O13RIK9.116286667	9.880084211	9.797192647	9.668695455
ILMN_3137287	LIF	5.682976667	6.44575	6.403722059	6.416013636
ILMN_2668510	HP	8.153523333	7.391392105	7.507407353	7.527177273
ILMN_2646891	CENTD1	10.04395333	10.80583684	10.76900441	10.81540909
ILMN_2614161	LSS	8.567596667	9.328973684	9.397113235	9.497386364
ILMN_2976440	BLK	10.83170333	10.07106842	10.05113971	10.12329545
ILMN_2654074	SESN1	11.24036667	10.47988947	10.44926176	10.32896818
ILMN_2593143	DOCK10	10.52829667	11.28851579	11.30300882	11.33595
ILMN_1239397	LOC1000479349.405073333	10.16416842	10.16762353	10.09550909
ILMN_2668509	HP	7.943053333	7.184218421	7.287372059	7.381036364
ILMN_1232621	ANK	7.856653333	7.099386842	7.122891176	7.169036364
ILMN_1221700	ELA2	7.074613333	6.318086842	6.367277941	6.59045
ILMN_2734391	RAMP1	7.914883333	7.158755263	7.212301471	6.993427273
ILMN_1230137	TPI1	11.74445667	12.50032895	12.51968382	12.25161818
ILMN_1234746	AI790298	7.578593333	6.822742105	6.873454412	6.792159091
ILMN_2648454	SIGLECG	10.3029	9.547089474	9.551536765	9.551795455
ILMN_2716622	MAPK11	9.600273333	8.844921053	8.852513235	8.744913636
ILMN_2685023	HMHA1	12.16146	11.40637895	11.42380441	11.32649091
ILMN_1231814	CCL5	9.356793333	8.602223684	8.662139706	8.673418182
ILMN_2818246	CPNE4	7.812076667	7.057652632	7.052097059	6.961063636
ILMN_1254685	EG240327	6.397796667	7.151681579	7.153916176	7.099763636
ILMN_2940446	DGKA	11.23734667	10.48404737	10.49755588	10.33128182
ILMN_2862379	RHOD	7.05575	6.304131579	6.303676471	6.307731818
ILMN_2733778	IL4I1	12.624	13.37522368	13.390125	13.45152273
ILMN_2545445	HIPK2	6.55741	7.308373684	7.332480882	7.280054545
ILMN_2700168	CCND2	10.03954667	10.79047632	10.82301765	10.75205455
ILMN_2618918	SLC2A6	9.982256667	10.73254211	10.75579118	10.77306364
ILMN_2881296	TMEM66	10.33295333	9.5849	9.557625	9.396040909
ILMN_2700166	CCND2	10.59667667	11.34464211	11.37600588	11.32170909
ILMN_2696609	MSCP	8.963526667	8.215607895	8.264191176	8.327386364
ILMN_1234973	A630004K05RIK6.210026667	6.954189474	6.972236765	6.985181818
ILMN_2492264	WISP1	5.968076667	6.711328947	6.711036765	6.729045455
ILMN_2606180	ACOT7	8.450883333	9.193897368	9.205269118	9.229513636
ILMN_1233589	CD27	8.96667	8.224807895	8.296473529	8.010390909
ILMN_2459899	ADAMTSL4	7.314856667	8.055031579	8.038655882	7.792595455
ILMN_2617468	CHAC1	7.318223333	8.0581	8.051151471	8.204913636
ILMN_1225730	FDPS	11.93995	12.67975	12.64576029	12.72600455
ILMN_1239632	NG23	9.102366667	8.364705263	8.462726471	8.421986364
ILMN_2833243	C330023M02RIK	9.257843333	9.993915789	9.987714706	9.956754545
ILMN_3131478	BCAT1	8.48867	9.224363158	9.234775	9.319163636
ILMN_2734212	CD1D1	8.991273333	8.255613158	8.262241176	8.221804545
ILMN_2615096	DPP4	10.40495	9.669584211	9.690317647	9.540363636
ILMN_1258864	BC106179	8.446476667	7.711865789	7.749288235	7.574309091
ILMN_1229197	OTTMUSG000080.03166865443333	7.633965789	7.618216176	7.357127273
ILMN_1255743	IL6RA	8.160456667	7.426255263	7.478202941	7.268536364
ILMN_2560567	A630006E02RIK	10.59341	9.863042105	9.936775	9.685986364
ILMN_2619107	LGALS1	9.918706667	10.6487	10.70566324	10.63135
ILMN_2619316	PRNP	9.040923333	9.770686842	9.719486765	9.604395455
ILMN_2960108	CYP27A1	6.88932	6.160155263	6.166485294	6.144959091
ILMN_3153982	NACC2	7.91061	7.181697368	7.109570588	7.017036364
ILMN_2695047	PNPLA7	8.31495	7.586323684	7.637077941	7.563486364
ILMN_2976441	BLK	11.54462667	10.81708684	10.82114853	10.89478636
ILMN_3136744	SESN1	10.62493	9.897607895	9.837792647	9.802745455
ILMN_2710905	S100A8	13.23183	12.50617368	12.62048529	12.83921818
ILMN_1256644	SLC6A12	7.60547	6.879828947	6.942016176	7.050290909
ILMN_2639036	HSPD1	8.82105	9.546586842	9.439136765	9.368622727
ILMN_2490076	PKIB	6.435753333	7.161171053	7.095933824	7.160954545
ILMN_1232668	MAD	7.291183333	8.015381579	7.986783824	7.835204545
ILMN_2828768	USP28	8.408456667	7.685742105	7.665252941	7.660695455
ILMN_2860649	GBP6	7.584156667	8.306197368	8.263667647	8.019059091
ILMN_2517611	7530408C15RIK7.806793333	7.085144737	7.035369118	6.93015
ILMN_2865016	CD83	11.44668667	12.16742368	12.24165294	12.34662273
ILMN_1220101	EBI2	10.51159667	11.23125263	11.28764265	11.27350909
ILMN_2715042	SDC3	8.413436667	9.132221053	9.146326471	9.056245455
ILMN_2860645	GBP6	8.79986	9.517697368	9.558605882	9.364745455
ILMN_1248028	EMP3	10.66351333	9.946255263	10.05402647	10.04704545
ILMN_1220236	CTSG	8.164396667	7.447392105	7.593658824	7.725227273
ILMN_2774537	HIST1H1C	8.914876667	8.198747368	8.165147059	8.258654545
ILMN_2678127	RNF144A	8.33433	7.618615789	7.589805882	7.484554545
ILMN_3162239	PRR7	7.936	7.221010526	7.209419118	7.151090909
ILMN_1255860	KLRD1	9.2035	8.489178947	8.505567647	8.348959091
ILMN_1212653	RFTN2	7.837833333	7.125721053	7.108895588	7.111963636
ILMN_2457437	A830080H07RIK10.58319667	9.872428947	9.842497059	9.785954545
ILMN_2852672	TSPAN32	10.27871	9.570586842	9.543492647	9.500654545
ILMN_1254314	4931429I11RIK	7.49642	6.788428947	6.757355882	6.756540909
ILMN_2696610	SLC25A37	8.959986667	8.252265789	8.278280882	8.350490909
ILMN_2712986	CHI3L3	8.252926667	7.545768421	7.58855	7.786881818
ILMN_1227277	D9ERTD392E	10.15505	9.448323684	9.413408824	9.290313636
ILMN_3005441	PPA1	11.77690333	12.47936316	12.44846176	12.45698636
ILMN_2553041	A130093I21RIK8.614756667	7.912957895	7.931957353	7.739868182
ILMN_2457571	MAML2	9.231806667	8.530407895	8.504491176	8.382118182
ILMN_3103896	TIMP1	6.028073333	6.728947368	6.733719118	6.625322727
ILMN_2758029	PRTN3	7.127993333	6.427576316	6.471620588	6.740686364
ILMN_1221048	PSAT1	9.916976667	10.61730789	10.49174706	10.59564545
ILMN_2757569	ENO3	9.369076667	8.668905263	8.710376471	8.733259091
ILMN_2804559	TMEM108	8.12613	7.426189474	7.472713235	7.367513636
ILMN_2690460	JAKMIP1	10.34174667	9.644271053	9.597117647	9.541822727
ILMN_2883326	PIRA3	8.234013333	7.537413158	7.603591176	7.675386364
ILMN_2675922	2310047A01RIK8.327533333	7.632757895	7.605654412	7.557727273
ILMN_1228804	A430106G13RIK	7.31336	6.618973684	6.595263235	6.54365
ILMN_1239055	XDH	6.36512	7.058510526	7.064069118	6.989463636
ILMN_2650739	ARHGAP9	9.78214	9.089992105	9.140601471	9.032004545
ILMN_2500370	9430080K19RIK	10.87341	10.18259737	10.17046471	10.11225
ILMN_2611532	SLC25A19	8.19492	8.885142105	9.008430882	9.032790909
ILMN_2735615	ISG20	7.518246667	8.208171053	8.139072059	8.239459091
ILMN_3156343	WARS	8.263773333	8.951560526	8.995901471	8.8753
ILMN_3157081	SYTL3	6.38456	7.070873684	7.083748529	7.023881818
ILMN_2632264	ACOT7	10.69470667	11.38071053	11.36450147	11.44196818
ILMN_2631610	TMEM71	7.29944	6.615542105	6.536094118	6.333768182
ILMN_2754158	TGTP	7.284873333	7.967889474	7.893519118	7.793495455
ILMN_3018445	CYP4F18	7.031773333	6.349197368	6.342822059	6.333136364
ILMN_1258364	5430434G16RIK9.318306667	8.636010526	8.610383824	8.485986364
ILMN_2660182	ACOT7	7.83013	8.510831579	8.549666176	8.507154545
ILMN_2971142	AMPD1	6.766323333	6.086144737	6.075851471	6.011377273
ILMN_1244516	RASGRP2	7.476703333	6.7969	6.799802941	6.836954545
ILMN_2703829	FCRLA	12.25565	11.57618421	11.55282353	11.51362273
ILMN_2629191	CPM	9.91393	9.234957895	9.169702941	9.147559091
ILMN_2979248	TMED8	8.15378	8.831739474	8.811263235	8.855245455
ILMN_1221530	ADCY7	9.032993333	8.355923684	8.271894118	8.166209091
ILMN_1236111	FCRLA	12.55218	11.87590263	11.88261912	11.83079091
ILMN_1213609	TXNIP	12.58893667	11.91322368	11.88612353	11.75423182
ILMN_2816180	LBH	11.77342667	11.09807368	11.09418676	11.01050455
ILMN_2606072	AGFG1	8.354076667	9.028615789	9.006667647	8.942363636
ILMN_2751111	4931429I11RIK7.654283333	6.980063158	6.943754412	6.948795455
ILMN_1234054	TMED8	7.90326	8.575631579	8.518032353	8.587863636
ILMN_2766875	OCIAD2	6.029033333	6.699218421	6.716430882	6.700781818
ILMN_2524763	4930597A21RIK8.344646667	7.674497368	7.673958824	7.653013636
ILMN_3006123	ASNS	7.223503333	7.891473684	7.884744118	7.997090909
ILMN_2628174	ACSS1	10.95242667	10.28503158	10.25702794	10.11349091
ILMN_1233402	LOC10004598110.00150667	9.334863158	9.334583824	9.159545455
ILMN_1237074	SLC25A19	11.00412333	11.66939737	11.67991765	11.73784545
ILMN_2852034	HIF1A	7.287836667	7.951565789	7.906245588	7.818386364
ILMN_1250410	EIF2AK2	9.431796667	10.09508684	10.06052647	9.927563636
ILMN_2837493	EG634650	5.993646667	6.656815789	6.735947059	6.467818182
ILMN_2754698	CD84	10.28207333	9.619726316	9.660651471	9.608509091
ILMN_1256356	PML	10.07259	10.73383421	10.68198088	10.62860455
ILMN_1239472	CEACAM2	7.422096667	6.760892105	6.785801471	6.778659091
ILMN_2421220	BRWD1	8.272236667	7.614028947	7.590058824	7.579027273
ILMN_1233999	PPP3CC	8.017933333	8.674994737	8.723741176	8.655763636
ILMN_1245731	HHEX	10.25222333	9.595684211	9.542633824	9.5176
ILMN_2656854	MYO6	7.86478	8.521181579	8.467532353	8.266945455
ILMN_2731760	MYO1F	9.27305	8.617213158	8.592685294	8.631081818
ILMN_2642462	GTF2I	12.18328	11.52754211	11.51643971	11.44292727
ILMN_1218533	A630054M16RIK	8.19438	8.849878947	8.827914706	8.862331818
ILMN_3115917	HSD11B1	9.131606667	8.476536842	8.515530882	8.443059091
ILMN_2945940	RAgenericEF4	7.861843333	7.20755	7.202657353	7.017481818
ILMN_2433990	LOC100048346	8.55353	9.207039474	9.203336765	9.144786364
ILMN_2752436	2210010N04RIK7.966906667	7.314218421	7.364426471	7.283672727
ILMN_1258197	D230004N01RIK	7.73881	8.391144737	8.361938235	8.371745455
ILMN_1218181	IFITM6	6.918566667	6.268265789	6.280010294	6.432531818
ILMN_2742042	NUPR1	6.801553333	7.451723684	7.512701471	7.494413636
ILMN_3112873	TXNIP	11.50670667	10.85741053	10.80823824	10.65764545
ILMN_1254405	LMNA	8.1473	8.796184211	8.835444118	8.852681818
