Probe	Gene	Fold_Change	t_test_p	t_test_adjp	snr_p	snr_adjp	limma_p	limma_adjp	anova_p	anova_adjp	signif_parametric	wilcoxon_p	wilcoxon_adjp
ILMN_1257496	LOC665446	1.195420235	0.0002995	0.01489206	0.0002995	0.01335371	8.57E-08	0.0000344	0.00000185	0.000412402	1	1.47177E-05	0.00353126
ILMN_2421246	TCRB-V8.3	1.195307771	0.0002995	0.01489206	0.0002995	0.01335371	1.42E-09	0.00000136	4.63E-08	0.0000308	1	5.89742E-06	0.0021116
ILMN_2729252	5830431A10RIK	1.195292385	0.0002995	0.01489206	0.0002995	0.01335371	1.38E-09	0.00000136	2.06E-08	0.0000171	1	1.2393E-06	0.00090134
ILMN_2484932	C030002B11RIK	1.193361778	0.0002995	0.01489206	0.0002995	0.01335371	6.33E-10	8.19E-07	5.47E-08	0.0000344	1	8.06586E-07	0.00070845
ILMN_1221819	FCGRT	1.193070246	0.0002995	0.01489206	0.0002995	0.01335371	7.12E-09	0.00000514	2.33E-08	0.0000187	1	9.56517E-06	0.00274856
ILMN_2981167	IFIT2	1.192834198	0.0002995	0.01489206	0.0002995	0.01335371	2.31E-08	0.000013	1.07E-08	0.0000115	1	3.88359E-07	0.00048857
ILMN_2585233	SELPL	1.192768508	0.0002995	0.01489206	0.0002995	0.01335371	8.22E-10	9.34E-07	8.63E-08	0.0000485	1	1.41024E-05	0.00347315
ILMN_2697415	CD3D	1.191227881	0.0002995	0.01489206	0.0002995	0.01335371	5.84E-10	7.99E-07	3.71E-08	0.0000262	1	5.64085E-06	0.00208385
ILMN_1230345	B830007D08RIK	1.191119956	0.0002995	0.01489206	0.0002995	0.01335371	3.22E-09	0.00000253	1.09E-08	0.0000115	1	1.57497E-07	0.00034541
ILMN_2811263	ZXDA	1.190267135	0.0002995	0.01489206	0.0006399	0.01941092	0.0000175	0.00184283	0.00015367	0.009469751	1	0.000176289	0.01444673
ILMN_2560567	A630006E02RIK	1.189860092	0.0002995	0.01489206	0.0002995	0.01335371	0.0000009	0.00020543	0.0000211	0.002464033	1	9.21443E-05	0.00995203
ILMN_2820893	SELPLG	1.188849449	0.0002995	0.01489206	0.0002995	0.01335371	1.27E-13	8.87E-10	8.13E-12	7.57E-08	1	5.59305E-08	0.00024945
ILMN_1246609	RASGRP1	1.18775349	0.0002995	0.01489206	0.0002995	0.01335371	3.02E-11	6.12E-08	2.46E-09	0.00000382	1	3.34766E-07	0.00044521
ILMN_2660551	LAT	1.187218377	0.0002995	0.01489206	0.0002995	0.01335371	9.43E-07	0.00021216	0.00000642	0.001075031	1	0.000130304	0.01220373
ILMN_2507761	7530404M11RIK	1.186381811	0.0002995	0.01489206	0.0002995	0.01335371	0.0000307	0.00278714	0.0000826	0.006091257	1	9.21504E-05	0.00995203
ILMN_2753697	CD2	1.186334291	0.0002995	0.01489206	0.0002995	0.01335371	2.97E-13	1.73E-09	1.04E-10	0.000000395	1	1.92936E-07	0.00034541
ILMN_2601453	A130092J06RIK	1.186313516	0.0002995	0.01489206	0.0002995	0.01335371	3.23E-11	6.26E-08	9.08E-10	0.00000192	1	9.77016E-07	0.00079793
ILMN_1234565	P4HA1	1.18626686	0.0002995	0.01489206	0.0002995	0.01335371	1.07E-07	0.0000412	7.49E-07	0.000219513	1	8.39227E-06	0.00252023
ILMN_2459899	ADAMTSL4	1.185956519	0.0002995	0.01489206	0.0002995	0.01335371	2.09E-09	0.00000174	2.06E-07	0.0000903	1	3.93982E-06	0.00166715
ILMN_2761720	LOC100041103	1.185737904	0.0002995	0.01489206	0.0002995	0.01335371	1.19E-09	0.00000123	3.43E-08	0.0000245	1	9.77016E-07	0.00079793
ILMN_1213954	SGK1	1.185317215	0.0002995	0.01489206	0.0002995	0.01335371	1.06E-07	0.000041	3.55E-07	0.000132883	1	1.49642E-06	0.00102442
ILMN_2632971	B3GALT4	1.185249067	0.0002995	0.01489206	0.0002995	0.01335371	1.78E-09	0.00000151	2.34E-10	0.000000605	1	6.36427E-09	0.00012222
ILMN_2860649	GBP6	1.184770963	0.0002995	0.01489206	0.0002995	0.01335371	0.00000014	0.0000492	1.01E-07	0.0000545	1	1.72245E-06	0.00108344
ILMN_2722784	CD3G	1.184582149	0.0002995	0.01489206	0.0002995	0.01335371	4.91E-08	0.0000224	0.00000016	0.0000754	1	2.06467E-05	0.00430994
ILMN_2667829	PRKCQ	1.183849443	0.0002995	0.01489206	0.0002995	0.01335371	2.77E-11	5.95E-08	1.89E-10	0.000000518	1	8.49731E-08	0.00028252
ILMN_1235499	PROS1	1.183674675	0.0002995	0.01489206	0.0002995	0.01335371	4.45E-07	0.00012175	0.00000119	0.00029799	1	2.24533E-05	0.00440984
ILMN_2694955	IGFBP4	1.183278575	0.0002995	0.01489206	0.0002995	0.01335371	0.00000158	0.00031636	0.00000706	0.001150107	1	9.95836E-05	0.01046347
ILMN_2491445	LOC639001	1.183039504	0.0006399	0.0211535	0.0002995	0.01335371	2.23E-08	0.0000126	4.29E-07	0.000146987	1	4.70154E-05	0.00688184
ILMN_2661185	SCML4	1.18284704	0.0002995	0.01489206	0.0002995	0.01335371	0.00000016	0.0000542	0.0000016	0.000369569	1	1.81978E-05	0.00399552
ILMN_2454823	6720418B01RIK	1.182721445	0.0002995	0.01489206	0.0002995	0.01335371	0.0000166	0.00178634	0.00013436	0.00874694	1	0.00057968	0.02968357
ILMN_2947526	ECM1	1.181777956	0.0002995	0.01489206	0.0002995	0.01335371	0.00000016	0.0000542	7.57E-07	0.000219513	1	7.35697E-06	0.00232956
ILMN_2705407	PABPC1	1.181328619	0.00094262	0.02607154	0.0006399	0.01941092	0.00011396	0.00731485	0.00024603	0.012809759	1	0.000329201	0.02128238
ILMN_1227570	LOC386545	1.180241912	0.0006399	0.0211535	0.0002995	0.01335371	1.36E-07	0.0000491	0.00000102	0.000272691	1	5.30373E-05	0.00748099
ILMN_2475156	XIST	1.179666178	0.0006399	0.0211535	0.0006399	0.01941092	0.00036367	0.01638681	0.00063489	0.023714186	1	0.001104095	0.04229821
ILMN_1214650	SCL0002368.1_75	1.179443236	0.0002995	0.01489206	0.0002995	0.01335371	0.0000372	0.00322909	0.0000222	0.00254822	1	3.68613E-05	0.00599924
ILMN_2606825	CMAH	1.17926401	0.0002995	0.01489206	0.0002995	0.01335371	1.13E-07	0.0000431	3.18E-07	0.000121491	1	7.35697E-06	0.00232956
ILMN_1224032	SKAP1	1.178850818	0.0002995	0.01489206	0.0002995	0.01335371	1.24E-08	0.00000822	6.12E-08	0.0000375	1	3.76554E-06	0.00162291
ILMN_2436183	BCL11B	1.178588337	0.0002995	0.01489206	0.0002995	0.01335371	8.65E-08	0.0000344	0.00000254	0.000523539	1	4.7012E-05	0.00688184
ILMN_2419490	TNFRSF18	1.178043424	0.0002995	0.01489206	0.0002995	0.01335371	7.56E-11	1.35E-07	1.53E-08	0.0000132	1	1.56849E-06	0.00104298
ILMN_2432110	LOC100046855	1.176564584	0.0002995	0.01489206	0.0002995	0.01335371	1.32E-07	0.0000482	9.52E-08	0.0000521	1	1.12718E-06	0.00087445
ILMN_2443624	BCL11B	1.17644894	0.0002995	0.01489206	0.0002995	0.01335371	2.53E-07	0.0000755	0.00000244	0.000512485	1	2.24533E-05	0.00440984
ILMN_1217913	D230007K08RIK	1.176197032	0.0002995	0.01489206	0.0002995	0.01335371	2.34E-08	0.000013	8.68E-08	0.0000485	1	1.02476E-06	0.0008224
ILMN_1215649	C230075M21RIK	1.176099557	0.0002995	0.01489206	0.0002995	0.01335371	0.0000672	0.00493359	0.00041344	0.017763501	1	0.000393771	0.02371136
ILMN_1217629	ITGAE	1.175144353	0.0002995	0.01489206	0.0002995	0.01335371	2.19E-08	0.0000126	1.49E-08	0.0000131	1	4.51028E-06	0.00180983
ILMN_1215862	CXCL9	1.174363745	0.00176049	0.0385938	0.00122569	0.02881591	0.01957651	0.17739607	0.00069086	0.02516235	0	0.001301571	0.04617913
ILMN_2721399	CTSW	1.172718248	0.0002995	0.01489206	0.0002995	0.01335371	2.77E-10	4.45E-07	4.69E-09	0.00000642	1	1.8046E-06	0.001091
ILMN_1248340	LSG1	1.172636468	0.0002995	0.01489206	0.0002995	0.01335371	0.00000275	0.00048633	0.0000158	0.00199766	1	2.65234E-05	0.00480383
ILMN_2618176	SOCS3	1.171028633	0.0002995	0.01489206	0.0002995	0.01335371	5.43E-10	7.65E-07	2.48E-08	0.0000192	1	7.35697E-06	0.00232956
ILMN_1218717	LOC385615	1.170940971	0.0002995	0.01489206	0.0002995	0.01335371	0.00000442	0.00070872	0.0000267	0.002856495	1	7.57938E-05	0.00879794
ILMN_1247893	CGEF2-PENDING	1.169922593	0.0002995	0.01489206	0.0002995	0.01335371	0.00000467	0.00072982	0.0000243	0.002709534	1	0.000120719	0.01149104
ILMN_1224473	LOC380797	1.16992167	0.00122569	0.03054155	0.00094262	0.02430167	0.00015376	0.00895396	0.00147216	0.0392018	1	0.00305523	0.07341857
ILMN_2419494	TNFRSF18	1.169716279	0.0002995	0.01489206	0.0002995	0.01335371	7.66E-10	9.15E-07	4.99E-08	0.0000324	1	5.39498E-06	0.00202516
ILMN_2612125	ARHGEF18	1.169661163	0.0002995	0.01489206	0.0002995	0.01335371	4.41E-08	0.0000212	0.00000152	0.000360463	1	9.15833E-06	0.00268109
ILMN_2606162	PDLIM4	1.169633574	0.0006399	0.0211535	0.0002995	0.01335371	4.78E-07	0.00012706	0.00000832	0.001279253	1	0.000600122	0.03046224
ILMN_1217406	1110013L07RIK	1.169153834	0.0002995	0.01489206	0.0002995	0.01335371	4.77E-08	0.0000223	2.86E-07	0.000110081	1	1.13766E-05	0.00307877
ILMN_2568571	C130079K02RIK	1.168909165	0.0002995	0.01489206	0.0002995	0.01335371	5.37E-07	0.00013971	0.0000201	0.002389566	1	6.22097E-05	0.00789013
ILMN_2818964	DUSP10	1.168854568	0.0002995	0.01489206	0.0002995	0.01335371	0.0000386	0.00328743	0.000041	0.003797436	1	3.39668E-05	0.00570777
ILMN_2431390	TCRB-V8.2	1.167218786	0.0006399	0.0211535	0.0002995	0.01335371	1.7E-09	0.00000149	7.75E-08	0.0000451	1	1.23973E-05	0.00322459
ILMN_2456911	TRBV31_X03277_T_CELL_RE	1.166841C1E9P4TOR0_.B0E0T0A63V99ARIA0B.0L2E131153353	0.0002995	0.01335371	0.00000163	0.00032459	0.0000123	0.001649893	1	0.000540727	0.02850419
ILMN_2981169	IFIT2	1.165766787	0.0002995	0.01489206	0.0002995	0.01335371	0.0000117	0.00139985	0.00000211	0.00045645	1	3.43889E-06	0.00156931
ILMN_1249366	LOC100046608	1.165718568	0.0002995	0.01489206	0.0002995	0.01335371	1.59E-09	0.00000145	1.55E-07	0.0000735	1	5.64035E-06	0.00208385
ILMN_1246194	LOC667370	1.165517165	0.0002995	0.01489206	0.0002995	0.01335371	0.0008987	0.02917128	0.00023641	0.012496999	1	0.00022037	0.01646479
ILMN_1236507	5830496L11RIK	1.164879502	0.0002995	0.01489206	0.0002995	0.01335371	0.0000665	0.00488934	0.00043189	0.018308965	1	0.000486846	0.02669165
ILMN_1254692	MS4A6B	1.164318447	0.0002995	0.01489206	0.0002995	0.01335371	0.00000049	0.00012954	8.08E-07	0.000227616	1	3.59866E-06	0.00158025
ILMN_3156208	GPR146	1.164011442	0.0002995	0.01489206	0.0002995	0.01335371	2.38E-08	0.000013	3.86E-07	0.00013797	1	6.44447E-06	0.00218957
ILMN_2734391	RAMP1	1.16383138	0.0002995	0.01489206	0.0002995	0.01335371	5.98E-09	0.00000442	2.14E-09	0.00000357	1	3.18544E-07	0.00044521
ILMN_1224091	XIST	1.16230787	0.0006399	0.0211535	0.00094262	0.02430167	0.00084048	0.02804442	0.00095208	0.030395331	1	0.001531279	0.05016159
ILMN_2456216	5330403D14RIK	1.161809103	0.00094262	0.02607154	0.00094262	0.02430167	0.0000367	0.00319787	0.00031494	0.015019787	1	0.000903743	0.03800048
ILMN_2627441	PELI1	1.161752176	0.0002995	0.01489206	0.0002995	0.01335371	0.00000119	0.00025415	0.00000113	0.000290416	1	4.31186E-06	0.00177614
ILMN_2891245	RHBDL2	1.161573842	0.0020184	0.04200694	0.0020184	0.03953445	0.00050184	0.02040365	0.00120654	0.035013094	1	0.001977573	0.05767797
ILMN_1232804	LOC276837	1.161420855	0.0002995	0.01489206	0.0002995	0.01335371	3.19E-07	0.0000928	0.000001	0.000269028	1	6.47271E-05	0.00803428
ILMN_1232537	ARL4C	1.160980448	0.0002995	0.01489206	0.0002995	0.01335371	4.13E-07	0.000115	0.00000371	0.000722503	1	7.28705E-05	0.00865281
ILMN_2444432	TRBV1_AE000663_T1_.C1E6L0L7_9R9E8C2E4PTO0R.0B00ET2A995VAR0.I0A1B4L8E92106207	0.0002995	0.01335371	0.00000104	0.00022691	0.00000112	0.000290018	1	7.57938E-05	0.00879794
ILMN_2756046	FFAR2	1.160027707	0.0002995	0.01489206	0.0002995	0.01335371	0.0000389	0.00330056	1.33E-07	0.000068	1	2.99936E-06	0.00146959
ILMN_1214163	B230380D07RIK	1.159421403	0.0002995	0.01489206	0.0002995	0.01335371	6.66E-08	0.0000279	4.61E-07	0.000152045	1	4.16456E-05	0.00639762
ILMN_2613832	MGST2	1.159082249	0.0002995	0.01489206	0.0002995	0.01335371	0.00000018	0.0000594	1.27E-08	0.0000119	1	1.49656E-06	0.00102442
ILMN_2506039	A130090K04RIK	1.158817015	0.0002995	0.01489206	0.0002995	0.01335371	6.61E-07	0.0001602	4.04E-07	0.00013924	1	7.03988E-06	0.00230764
ILMN_1219179	A830081L15RIK	1.158794735	0.0002995	0.01489206	0.0002995	0.01335371	0.00000165	0.00032655	0.00000379	0.000732759	1	8.39227E-06	0.00252023
ILMN_1248898	A830092P18RIK	1.158658732	0.0002995	0.01489206	0.0002995	0.01335371	0.00000523	0.00078323	0.0000278	0.002931426	1	9.5799E-05	0.01018072
ILMN_2651575	IFNGR1	1.158581155	0.0002995	0.01489206	0.0002995	0.01335371	5.63E-07	0.00014332	0.00000707	0.001150107	1	1.1878E-05	0.00314139
ILMN_2708580	INADL	1.158423303	0.0002995	0.01489206	0.0002995	0.01335371	1.33E-07	0.0000482	2.41E-07	0.000101903	1	3.76554E-06	0.00162291
ILMN_1236256	ARHGEF1	1.158058706	0.0002995	0.01489206	0.0006399	0.01941092	0.00012116	0.00760514	0.00023881	0.012588785	1	0.00022037	0.01646479
ILMN_2525855	FUS	1.157139415	0.0002995	0.01489206	0.0002995	0.01335371	0.0000124	0.00144807	0.0000814	0.006023296	1	9.5799E-05	0.01018072
ILMN_2526938	LOC623121	1.157084959	0.0002995	0.01489206	0.0002995	0.01335371	0.0000881	0.00606307	0.0001654	0.009948464	1	0.000393771	0.02371136
ILMN_1213664	LOC665425	1.156699853	0.00094262	0.02607154	0.0006399	0.01941092	0.00000457	0.0007204	0.0000219	0.002525607	1	0.000157497	0.01350097
ILMN_1255743	IL6RA	1.1564233	0.0002995	0.01489206	0.0002995	0.01335371	0.0000121	0.00143247	0.0000346	0.003367292	1	0.00011618	0.0112429
ILMN_2646625	JUN	1.155896052	0.0002995	0.01489206	0.0002995	0.01335371	4.75E-08	0.0000223	4.3E-08	0.0000294	1	8.0667E-07	0.00070845
ILMN_2843019	KLHDC1	1.155520822	0.0002995	0.01489206	0.0002995	0.01335371	5.72E-07	0.00014393	0.00000446	0.000810182	1	3.00244E-05	0.00527375
ILMN_3047389	GBP2	1.155409559	0.00397039	0.064249	0.00467484	0.06877491	0.00439071	0.07547063	0.00354418	0.067235737	0	0.003774648	0.08295494
ILMN_1257639	0610009J05RIK	1.155036694	0.0002995	0.01489206	0.0002995	0.01335371	0.0000254	0.00245781	0.00014036	0.009023792	1	0.000157487	0.01350097
ILMN_1239770	PELI1	1.154754524	0.0002995	0.01489206	0.0002995	0.01335371	2.15E-08	0.0000125	6.23E-08	0.0000377	1	1.56849E-06	0.00104298
ILMN_2669841	6330581N18RIK	1.153993411	0.0002995	0.01489206	0.0002995	0.01335371	0.00000028	0.0000823	1.21E-07	0.0000627	1	1.29931E-06	0.00093044
ILMN_2797061	ACTN2	1.153924476	0.0002995	0.01489206	0.0002995	0.01335371	3.85E-08	0.0000189	1.24E-08	0.0000119	1	1.18196E-06	0.00088737
ILMN_2784580	CD3E	1.153886402	0.00094262	0.02607154	0.0002995	0.01335371	0.00000294	0.00051612	0.0000297	0.003067006	1	0.000763113	0.03482416
ILMN_3006219	FYB	1.153762655	0.0002995	0.01489206	0.0002995	0.01335371	0.0000042	0.0006766	0.0000232	0.002627969	1	0.000157497	0.01350097
ILMN_2467190	BAMBI-PS1	1.15354344	0.0002995	0.01489206	0.0002995	0.01335371	0.00000128	0.00026647	0.0000012	0.00029799	1	2.76434E-05	0.00493033
ILMN_2536349	LOC386513	1.153082558	0.0002995	0.01489206	0.0002995	0.01335371	6.12E-08	0.0000262	4.94E-07	0.00016183	1	4.16456E-05	0.00639762
ILMN_2432550	TRIB2	1.15299348	0.0002995	0.01489206	0.0002995	0.01335371	2.08E-07	0.0000667	3.94E-07	0.00013797	1	6.16514E-06	0.0021257
ILMN_2844996	ACTN1	1.152882536	0.0002995	0.01489206	0.0002995	0.01335371	0.00000474	0.0007333	0.0000112	0.001548243	1	0.000140602	0.01273272
ILMN_1247281	5830468F06RIK	1.15264746	0.0002995	0.01489206	0.0002995	0.01335371	3.03E-07	0.0000888	7.59E-07	0.000219513	1	2.73684E-06	0.00139991
ILMN_1227814	SRR	1.1524679	0.00444101	0.0691859	0.00373333	0.05925673	0.00032551	0.01515171	0.00191731	0.04584872	0	0.004782836	0.09409752
ILMN_1249021	BCL2	1.152415672	0.0002995	0.01489206	0.0002995	0.01335371	2.39E-08	0.000013	2.71E-07	0.000109783	1	7.35697E-06	0.00232956
ILMN_2427592	LOC546630	1.152263699	0.0002995	0.01489206	0.0002995	0.01335371	3.87E-08	0.0000189	7.4E-08	0.0000436	1	8.87963E-07	0.00076541
ILMN_1259075	NME7	1.152030836	0.0002995	0.01489206	0.0002995	0.01335371	6.14E-08	0.0000262	2.53E-07	0.000106116	1	3.43889E-06	0.00156931
ILMN_1343049	control_ILMN_134310.41951797691	0.0006399	0.0211535	0.0006399	0.01941092	0.0000486	0.00386324	0.0000962	0.006777584	1	0.000111795	0.01097902
ILMN_3026397	CHKA	1.1512093	0.00373333	0.06184411	0.00397039	0.06196763	0.0007963	0.02730155	0.00350197	0.066778429	0	0.005373402	0.10008988
ILMN_2631610	TMEM71	1.15055696	0.0002995	0.01489206	0.0002995	0.01335371	0.00000196	0.00037186	7.31E-07	0.000218104	1	2.99936E-06	0.00146959
ILMN_1227434	ITGB7	1.150210635	0.0006399	0.0211535	0.0002995	0.01335371	0.00000383	0.00063236	0.00000744	0.001193798	1	7.57886E-05	0.00879794
ILMN_1232600	RNF125	1.150131069	0.0002995	0.01489206	0.0002995	0.01335371	7.88E-08	0.0000325	5.26E-07	0.000168884	1	8.0326E-06	0.00247612
ILMN_2656854	MYO6	1.149171076	0.0002995	0.01489206	0.0002995	0.01335371	0.0000106	0.00129112	0.000015	0.001927918	1	0.000763113	0.03482416
ILMN_1258652	RBBP2	1.148685264	0.0002995	0.01489206	0.0002995	0.01335371	0.0000026	0.00046493	0.00000949	0.00136995	1	2.24533E-05	0.00440984
ILMN_1245754	CD84	1.148512188	0.0002995	0.01489206	0.0002995	0.01335371	0.0000661	0.0048741	0.00015814	0.009685436	1	0.00042277	0.02466001
ILMN_2780247	LTA	1.147812483	0.00149689	0.03478153	0.00094262	0.02430167	0.0000477	0.00381669	0.000069	0.005349701	1	0.000665544	0.03206944
ILMN_2663930	SLFN1	1.147768768	0.0002995	0.01489206	0.0002995	0.01335371	0.00000138	0.00028053	0.00000835	0.001279253	1	0.000111802	0.01097902
ILMN_3023230	JMJD3	1.147753644	0.0002995	0.01489206	0.0002995	0.01335371	0.00000543	0.00080725	0.0000199	0.002370654	1	0.00011618	0.0112429
ILMN_2764727	ACTN2	1.146764113	0.0002995	0.01489206	0.0002995	0.01335371	1.37E-08	0.00000883	0.00000044	0.000148085	1	2.65234E-05	0.00480383
ILMN_2539295	LOC621968	1.14667536	0.00149689	0.03478153	0.0006399	0.01941092	0.00000448	0.00070872	0.000044	0.003965776	1	0.001797898	0.05487657
ILMN_2448404	SCL0002975.1_346	1.146129707	0.00176049	0.0385938	0.0020184	0.03953445	0.00133016	0.03704155	0.00169107	0.042433629	1	0.002787111	0.07008733
